Ente,Clave,Tipo,Padre / Dominio,Depende de,FaseInicio,Contratos I/O (resumen),SLO/SLA clave,Artefactos de evidencia,Rollback / Freeze,Owner,Sugerencias de ajuste /mejora,Anotaciones IM,Validados IM
Memoria Central [Memory System],SY-NSC.MEM,Sistema,SY-NSC (Sistema Nervioso Central),SY-NSC.N; SY-REP.MEM; PO-LOG; FR-FIL,F0,"In: exec_report, effects, memory_write, qa_report.Out: experience_feed, context_recall.",Durabilidad ≥ 99.9 %; latencia de recall ≤ 100 ms; cobertura de episodios ≥ 90 %.,memory_log.json; episode_store.sqlite; lineage_full.db; memory_dashboard.html; audit_trace.json,Freeze si pérdida de trazabilidad o corrupción de linaje; rollback sobre snapshot previo firmado en FR-FIL.,Memory Keeper + QA-Analyst,"Revisar con IM la periodicidad del context_recall y anclaje del hash de linaje final a FR-FIL.Confirmar compatibilidad del linaje con SY-REP.MEM y reglas éticas del PO-EEE.
Formalizar vínculo operativo ↔ representacional (SY-REP.MEM) y anclar a digest FR-FIL. Mantener coherencia hash y versionado neuro_map ↔ rep_map.","IM-MEM-001: Aprobado — mem_trace.yml como ledger universal de herencia (append-only) y heredity_index.json para elementos heredables; coherencia hash ≥ 99 %. Impacto: FR-FIL, SY-REP, SY-IMM. ; IM-MEM-002: Modificar — publicar neuro_map.digest y audit_lineage.json en PO-LOG por refresh; registrar mutaciones sinápticas en SY-REP.MEM durante plasticidad. Impacto: SY-NRV, PO-LOG.",VERDADERO
Sistema Muscular [Muscular System],SY-MSC,Sistema,Capa Somática / SY-SOMA,"SY-NSC (Nervioso), SY-END (Endócrino), SY-CHR (Chrono)",F0,"In: permit, block, schedule.Out: exec_report, effects.Ejecutores idempotentes (mock/paper/live).",p95 latencia < 100 ms.0 duplicados.Reconciliación de órdenes sin desviación.,execution_log.json; trade_report.csv; latency_metrics.db; mscheduler_trace.yaml; telemetry_dashboard.html,Rollback si se detectan duplicados o ejecuciones fuera de ventana; freeze automático ante error de idempotencia o pérdida de control del scheduler.,Motion Executor + QA-Runner,Revisión con IM del umbral de latencia adaptativa (coordinar con SY-END).Verificar compatibilidad del kill-switch con el SY-IMM y políticas de rollback SY-CHR/SLA.,"IM-MSC-001: Aprobado con precisión — F0: mock executor con idempotencia por uid, exec_report.json, p95 < 200 ms; F1: paper-trading con confirmación de fill y logging completo. Impacto: SY-NRV, SY-CHR. ; IM-MSC-002: Modificar — headers de orden con trace_id, ts_utc, ttl_ms para reconciliación sin residuos; kill-switch coordinado por SCI strikes (degradación 3-strikes). Impacto: SY-CRD, SY-CHR.CA. ; IM-MSC-003: Aprobado — reporte diario de latencia adaptativa y coherencia con estado endocrino; publicar a PO-LOG. Impacto: SY-END, PO-LOG.",VERDADERO
Sistema Digestivo [Digestive System],SY-DIG,Sistema,Capa Metabólica / SY-MET,"SY-RSP, SY-CRD, SY-LYM",F0,"In: market_io, snapshots.Out: clean_series, features_batch, quality_flags.Procesos ETL: ingestión, normalización, validación y enriquecimiento.",≥ 99 % barras válidas · 0 drift de schema · QA 100 % verde.,dataset_clean.parquet · etl_log.json · dq_report.csv · feature_catalog.md · linaje.yml,Rollback de datasets corruptos mediante cuarentena SY-LYM · freeze automático si drift>umbral.,Data Alchemist / ETL Manager,Sincronizar políticas de cuarentena con SY-LYM; anclar hash de linaje a FR-FIL · Definir etl_policy.yml firmado por QA-Agent.,"IM-DIG-001: Aprobado — F0 dataset histórico determinista; UTC normalizado; integridad ≥ 99.x %; reproducibilidad documentada. Impacto: SY-CHR, SY-CRD. ; IM-DIG-002: Aprobado con detalle — F1/F2 ETL incremental append-only con linaje (dataset→features→modelo→trade), catálogo de features con anti-leakage y SLOs de frescura/jitter. Impacto: PO-LOG.REP, SY-NRV, PO-TRA. ; IM-DIG-003: Modificar — declarar etl_policy.yml firmado; coordinación con SY-LYM (quarantine) ante contaminación; backfill reproducible con control de costo. Impacto: SY-IMM/SY-LYM, FR-FIL.",VERDADERO
Sistema Respiratorio,SY-RSP,Sistema orgánico,SY-ORG.MTB (Metabolismo y transporte),"SY-CRD (Cardiovascular), SY-CHR (Chrono), SY-DIG (Digestivo), SY-END (Endócrino)",F0,"Input: streams WS/REST (Tick, OHLCV, BookUpdate) + señales de control (heartbeat, health).Output: buffers priorizados (hacia SY-DIG, SY-CRD, SY-NRV).Errores esperados: desconexiones, jitter, duplicados, reorder.Respuestas: reconexión/backoff, drop controlado, rehidratación, failover.

resp_policy.yml; resp_budget.yml ↔ sla_tree.yml / latency_budget.yml (SY-CHR)","uptime ≥ 99.9 %; jitter ≤ umbral; p95 delivery < latency_budget.yml; pérdida crítica = 0 %.

p50/p95 ingress, loss% alineados a latency_budget por tramo","resp_policy.yml (QoS), resp_budget.yml (cadencia/TTL), heartbeat.log, resp_status.json, metrics_report.ndjson.
resp_runtime.log; resp_health.ndjson; resp_policy.signature","Freeze automático si uptime < 99 % o > 5 heartbeats perdidos consecutivos.

freeze_resp=true si heartbeats_perdidos>umbral o blackout_window activa",Respiratory Manager,Integrar reportes de SY-RSP en SY-CHR.SLA para sincronizar ritmo y degradación; enlazar métricas de jitter y pérdida con PO-LOG.,"IM-RSP-001 (Aprobado) — Definir resp_policy.yml y resp_budget.yml como contratos respiratorios firmados con SLO auditable. Impacto: SY-CRD (QoS), SY-CHR (ventanas SLA), SY-DIG (frescura datos).
IM-RSP-001: Modificar — Añadir jitter_ms_max, heartbeat_budget_ms y blackout_windows en resp_policy.yml referenciados a sla_tree.yml; alinear {p50,p95 ingress, loss%} al latency_budget por tramo (CRD/NRV reportan).",VERDADERO
Cerebro Reptiliano,SY-NSC.R,Submódulo,SY-NSC (Nervioso-Cognitivo),"SY-CHR (tiempo), SY-IMM (seguridad), SY-END (estado interno)",F0,"out: block_all, halt, safe_close; in: señales críticas de SY-IMM y Chrono","Tiempo de reacción < N ms, cumplimiento 100 % en kill-switch; 0 falsos positivos","reptilian_policy.yml, panic_trigger.log, reflex_audit.json",Rollback automático post-evento (cooldown); freeze si reactivaciones >3,TMH / QA Ético,"Implementar reptilian_policy.yml como contrato firmado de seguridad crítica, anclarlo al árbol SLA.",(Pendiente IM-NSC-R-001) — Definir límites inquebrantables y condiciones mínimas necesarias (AND) para activación del kill-switch.,VERDADERO
Cerebro Límbico,SY-NSC.L,Submódulo,SY-NSC (Sistema Nervioso Central),"SY-END (estado hormonal), SY-REP.MEM (memoria emocional), SY-CHR (tiempo)",F0,"in: metrics_bus, effects; out: risk_adjustments, mood_state, endocrine_signals",Oscilación del apetito de riesgo dentro de banda segura; estabilidad emocional ≥ 90 % (F4),"limbic_policy.yml, mood_report.log, affect_audit.json",Cooldown emocional tras estrés; freeze si el apetito sale de banda tres veces seguidas,TMH / QA Ético,Observación técnica: Conviene definir un limbic_policy.yml firmado y un affect_audit.json que trace el estado motivacional por ciclo; deben integrarse con SY-END y SY-CHR para coherencia temporal. Comentario IM sugerido: revisar compatibilidad de los parámetros de riesgo con la política de homeostasis endocrina (SY-END) y la cadencia de Chrono (ventanas SLA).,,VERDADERO
Submódulo de Dolor,SY-NSC.L.PAI,Submódulo,SY-NSC.L (Cerebro Límbico),"SY-IMM (Inmunológico), SY-REP.MEM (Memoria evolutiva), SY-CHR (Chrono), AVE (Ética), SY-MCG (Metacognitivo)",F0,"in: error_stream, qa_logs, metric_drifts; out: pain_signal, vulnerability_map, pain_audit.json",Detección ≥ 95 % de fallos críticos; recuperación ≤ N s; recurrencia reducida ≥ 50 % (F2–F4),"pain_policy.yml, pain_log.ndjson, vulnerability_map.json",Rollback automático si el dolor supera umbral o se repite en < 3 ciclos; freeze temporal del flujo afectado,QA-ÉTICO / Pain Manager,"Observación técnica: El dolor debe integrarse al ecosistema QA (EEI↔EEE) como canal de retroalimentación prioritaria. Recomiendo validar coherencia entre pain_policy.yml y imm_boot.yml para evitar colisión de respuestas. Comentario IM sugerido: vincular vulnerability_map.json con SY-REP.MEM para trazabilidad evolutiva de errores y su aprendizaje.
Hereda gobernanza global: TMH + 3-strikes (F0–F1); Autonomía + AVE (F2+). Ver Maestro §§ referidas",,VERDADERO
Neocórtex,SY-NSC.N,Submódulo,SY-NSC (Sistema Nervioso Central),"SY-DIG (features/ETL), SY-RSP (frescura/jitter), SY-CHR.SLA (ventanas/latencia), SY-END (estado/tono), SY-NSC.MEM (recall/linaje), PO-LOG (observabilidad), SY-IMM/PO-EEE (gobernanza)",F0,"Entradas: features_batch, signal_stream, state_update, métricas de latencia SCI/EDL; Salidas: proposed_action, model_updates, rationales, analysis_report; Contratos sugeridos: model_card.yml, selector_policy.yml, explain_contract.yml ↔ MEM anchor",Performance OOS ≥ benchmark; p95 inferencia < presupuesto (latency_budget.yml); estabilidad de decisión ≥ 95%; drift bajo (umbral definido); % decisiones con explicación válida ≥ 90%.,"training_run.log, model_registry.json, oos_eval.csv, rationales.ndjson, explain_audit.ndjson, selector_metrics.json.
model_card.hash; explain.digest; oos_report.ndjson","Freeze del selector si OOS cae por debajo del benchmark o SCI < umbral; Rollback a model@prev_hash y selector@prev con evidencia en oos_eval.csv.

freeze_model=true ante leakage_detected o caída OOS sostenida",Neuro Lead (Cortex Manager),"Estandarizar selector_policy.yml (bandits/champion-challenger), explain_contract.yml (campos mínimos) y model_card.yml; anclar trazabilidad a SY-NSC.MEM; publicar digest de selector a PO-LOG.","IM-NSC-N-001: Modificar — Fijar mínimos en model_card.yml/explain_contract.yml (inputs, targets, training_window, leakage_checks, rationales_schema) y anclar hash en MEM.",VERDADERO
Sistema Sensorial Integrado,SY-SEN,Sistema,Percepción / Homeostasis,"SY-CHR, SY-END, SY-NSC, SY-DIG",F0,"sensory_contract.yml, perception_log.yml (define fuentes, frescura, latencias y tolerancias).
sensory_fusion.yml ↔ window_map.yaml (SY-CHR); sensory_ingest.schema.json","Frescura ≥ 95 %; Drift < 0.05; Uptime perceptual ≥ 99.9 %.
frescura por clase; jitter compensado en banda; % pérdida=0 en eventos críticos","QA sensory suite, mock-data streams, fusion_report.log.
sensory_fusion.digest; sen_stream.auditsensory_fusion.digest; sen_stream.audit","perception_rewind.yml (rollback sensorial controlado).
freeze_fusion=true si drift_timestamp>ε o orden no determinista",PO-EEE,Completar LUT semántica sensorial; formalizar cobertura AVE y métricas de relevancia.,"IM-SEN-001: Modificar — Declarar sensory_fusion.yml con alineación a window_map.yaml (SY-CHR) y orden {ts_utc, source_id} para fusión determinista; formalizar contrato de fusión.",VERDADERO
Sistema Vestibular Digital,SY-SEN.VES,Submódulo,Sensorial / Homeostasis,"SY-SEN, SY-CHR, SY-END, SY-NSC",F0,"equilibrium_contract.yml, stability_metrics.log (centro de gravedad lógico, tolerancias, drift).
stability_baseline.yml; drift_monitor.schema.json","Drift < 5 %; Uptime ≥ 99.9 %; variación de latencia < 10 %.
latencia ±10% baseline; drift<umbral","QA_balance_suite, chrono_stability.log, feedforward_report.yml.
stability.digest; vestibular.audit","balance_rewind.yml (rollback por oscilación).
freeze_adjust=true si drift>threshold o cooldown activo",PO-EEE,"Incluir indicadores de armonía operativa en QA; definir pesos entre riesgo/seguridad para Endócrino.
Hereda gobernanza global: TMH + 3-strikes (F0–F1); Autonomía + AVE (F2+). Ver Maestro §§ “Supervisión ética en fases tempranas” y “Gobernanza transitoria",IM-SEN-VES-001: Modificar — stability_baseline.yml con drift_threshold_pct y cooldown_policy como artefacto normativo.,VERDADERO
